	userId	Top 10 recommendations
0	471	1619,83,82,364,356,802,2571,307,1704,750
1	463	74,1968,1246,41,82,83,750,1200,337,364
2	833	1028,236,171,364,2028,41,34,83,82,1073
3	496	364,1028,82,83,1073,199,236,1968,750,2028
4	148	82,83,750,307,471,1200,1438,364,1246,1968
5	540	364,82,83,2028,171,41,1246,236,899,750
6	392	82,83,1619,5952,750,364,1200,1968,471,2571
7	243	106,1246,246,1438,307,1200,82,83,223,337
8	623	171,101,364,7,82,83,2070,2333,236,968
9	737	1210,1286,260,750,5952,3949,1136,608,955,910
10	897	1060,50,953,178,307,1089,471,898,1704,300
11	858	171,101,1028,1,2028,17,1240,7,1073,199
12	31	82,83,1246,1653,1035,364,150,1968,588,223
13	516	83,82,364,610,1246,750,337,223,1200,5952
14	580	1246,82,83,364,1968,1438,141,588,858,471
15	251	171,101,7,364,2333,2070,236,968,82,83
16	451	1619,170,1772,1965,82,83,58559,364,6535,2571
17	85	171,101,17,7,28,1041,74,337,232,41
18	137	83,82,364,307,1619,750,471,141,5952,1200
19	808	5952,750,1210,608,260,82,83,1286,3949,955
20	883	307,750,50,82,83,471,1438,1704,953,1619
21	65	48780,7153,33679,59315,72630,72378,2571,83,82,6535
22	458	82,83,364,5952,1968,1619,1200,750,2571,307
23	879	82,83,1619,364,1035,6535,58559,2571,5952,1270
24	970	2501,1619,802,2571,1193,471,914,83,82,318
25	481	82,83,307,750,471,1438,141,364,372,1200
26	53	912,910,608,1208,1286,1210,750,260,5952,1136
27	804	1286,1210,520,1136,910,2762,260,586,3949,955
28	255	307,471,50,750,154,1438,953,337,1200,1968
29	588	171,83,82,364,41,750,924,1200,1968,141
30	898	1619,356,82,83,2959,802,170,1721,1270,2571
31	799	1197,3481,3408,6535,1035,82,83,1265,1270,1097
32	472	82,83,364,1653,1246,1968,750,337,1200,223
33	133	106,74,246,83,82,1968,307,364,1200,750
34	853	6,345,112,1246,337,1653,1968,123,1200,41
35	296	2028,608,307,364,1961,471,750,223,2692,141
36	322	106,74,246,16,17,171,94,58559,364,1653
37	513	364,899,2028,608,83,82,750,2571,5952,41
38	78	82,83,1968,364,307,750,1246,471,372,223
39	918	106,246,364,83,82,1035,58559,1246,2124,223
40	321	83,82,106,364,1968,246,750,307,1200,1246
41	961	34,106,246,1246,83,82,13,262,236,62
42	362	1619,83,82,364,356,2959,2571,5952,802,750
43	613	106,16,246,307,608,1968,223,41,199,750
44	633	74,82,83,1968,364,1246,924,41,750,1200
45	673	82,83,364,1968,1653,750,1200,106,1035,307
46	974	588,82,83,337,1619,364,471,307,1968,1200
47	857	83,82,750,372,924,1968,665,1200,610,307
48	593	2028,608,1028,1,364,899,199,1240,750,171
49	375	154,665,750,307,50,608,32,372,47,1200
50	876	171,364,82,83,101,41,337,74,858,7
51	976	1246,106,83,82,1968,364,246,858,41,112
52	597	29,665,154,74,924,307,750,1200,41,372
53	950	74,364,82,83,1968,750,1246,223,41,608
54	683	2028,1,199,1028,608,364,171,1240,41,223
55	744	1035,82,83,364,1619,1653,5952,150,1097,58559
56	155	665,83,82,750,307,924,1200,41,608,1968
57	108	307,1200,750,83,82,1968,1246,1438,154,665
58	530	85,58,307,364,750,610,608,82,83,223
59	211	364,83,82,750,2028,608,1968,1246,199,223
60	642	750,41,665,307,924,82,83,1968,1200,154
61	193	74,83,82,1968,750,364,1246,41,1200,924
62	34	154,307,471,665,82,83,296,1968,1246,1438
63	796	307,608,750,11,58,364,665,83,82,1653
64	368	154,227,608,665,750,1968,307,296,1200,899
65	101	1136,47,1200,1438,106,910,175,246,307,1968
66	772	171,101,2028,364,1028,199,1,7,223,41
67	115	83,82,1619,364,356,802,1704,307,2571,750
68	126	471,2692,527,1619,802,2571,1704,307,5952,1438
69	756	82,83,106,246,1968,307,1200,74,364,750
70	830	2028,1028,1,364,236,199,2333,2070,1073,171
71	81	1213,318,914,802,2571,1221,3578,1619,471,1961
72	874	1619,802,2571,471,2692,527,914,1704,318,82
73	385	82,83,364,41,1246,1968,1200,34,750,74
74	847	6,41,1041,199,1,2028,1246,345,364,253
75	939	83,82,171,364,41,1968,223,141,1246,750
76	210	364,83,82,1101,369,370,610,105,3,750
77	183	83,82,364,750,1653,1968,1200,610,1246,150
78	436	608,750,154,471,199,307,665,337,899,364
79	28	750,665,924,307,41,82,83,1200,364,154
80	762	2496,2539,2505,2447,920,58559,1968,83,82,585
81	596	82,83,750,1200,307,5952,1968,608,471,1438
82	497	1,2028,1028,171,236,1240,199,202,760,592
83	300	1286,586,1210,260,520,1136,910,2762,3949,955
84	412	802,1619,2571,914,318,471,1213,1221,307,2692
85	842	34,262,106,246,82,83,524,1035,36,41
86	784	1619,82,83,194,1193,2571,802,58559,471,5952
87	406	2692,1619,471,527,5952,750,608,1704,2571,58559
88	787	106,246,94,16,74,82,83,307,364,1035
89	731	171,1041,41,364,83,82,337,858,1246,101
90	587	6,345,112,1653,1246,337,10,588,150,223
91	988	750,5952,260,1210,608,912,83,82,3949,910
92	723	154,665,83,82,307,608,1968,471,5952,296
93	914	58,307,608,750,364,154,665,85,82,83
94	76	750,307,665,1200,924,154,608,83,82,1968
95	667	830,1246,858,74,83,82,1968,1047,524,236
96	688	307,750,1200,1438,1968,608,1136,83,82,47
97	501	11,639,1653,58559,372,150,1035,307,608,912
98	332	337,83,82,588,471,345,924,194,1619,364
99	26	307,750,665,154,1438,50,1200,471,372,924
100	626	82,83,364,171,1619,337,141,223,2571,908
101	27	408,1619,356,2959,170,1721,83,82,1682,4973
102	577	41,231,83,82,1702,1091,364,924,1041,307
103	831	1619,802,318,914,2571,1213,471,1221,307,1704
104	384	1968,82,83,1200,1246,750,307,364,337,471
105	271	5952,2571,471,802,608,1619,307,2692,1221,83
106	811	364,750,82,83,1968,1246,41,223,608,1200
107	192	307,471,802,1221,1619,2571,50,318,1438,914
108	743	1286,1210,3949,5952,910,260,1196,1136,955,82
109	44	5952,83,82,2571,1619,750,802,364,541,58559
110	844	74,82,83,364,924,1968,1246,750,2070,2333
111	606	83,82,750,364,610,2571,5952,924,307,899
112	916	471,1619,83,82,307,802,1438,2692,1704,364
113	908	1619,83,82,2959,1704,802,2571,364,2692,1270
114	159	82,83,123,1968,364,1619,1200,110,1246,750
115	253	307,471,82,83,1619,802,1438,2571,1704,750
116	806	307,83,82,471,154,1619,665,1438,1200,750
117	460	82,83,1200,307,750,1968,610,1438,471,1246
118	103	82,83,1035,123,5952,1619,364,1968,1200,2571
119	236	83,82,364,1968,1619,1200,750,899,5952,141
120	329	1653,1035,150,364,1079,1968,11,83,82,1200
121	350	154,307,665,608,1968,296,1200,750,471,82
122	12	2028,1,1028,199,223,1968,171,608,364,41
123	973	154,307,665,1200,750,1968,471,82,83,608
124	984	82,83,364,1619,5952,610,2571,141,1968,750
125	336	1093,1208,616,924,74,830,74688,58559,337,83
126	860	364,1968,1246,82,83,750,608,1200,18,307
127	223	307,50,1438,953,1704,471,750,1200,293,802
128	738	6,112,1968,364,1246,41,337,2028,858,223
129	602	307,471,50,750,1438,802,1704,953,83,82
130	417	106,246,83,82,213,1619,307,1246,1438,58559
131	388	178,171,101,83,82,1619,2571,364,1265,858
132	548	82,83,364,141,750,1246,1438,924,610,2571
133	91	2571,1619,82,83,802,908,471,914,318,5952
134	663	41,2028,364,608,199,1968,6,1,223,750
135	926	82,83,364,1968,750,141,1619,1200,5952,899
136	578	82,83,750,364,1968,1246,1200,372,610,5952
137	409	364,83,82,750,1246,141,2333,2070,899,2028
138	822	83,82,1246,364,2333,2070,968,858,141,58559
139	333	83,82,364,141,1246,2333,2070,924,750,1438
140	707	2028,364,199,608,1,1028,750,899,223,171
141	601	82,83,364,1619,750,1968,5952,471,1200,58559
142	222	110,123,1704,293,1968,1200,471,154,1619,83
143	285	83,82,364,106,750,1968,1200,307,246,1653
144	875	18,1968,74,1246,83,82,665,750,1200,307
145	330	83,82,364,588,307,1619,471,750,337,1968
146	22	83,82,123,1035,364,1653,1246,610,5952,185
147	372	364,83,82,1246,2333,2070,141,858,899,968
148	604	1041,307,154,665,231,50,32,41,314,1091
149	685	337,1101,364,1246,223,610,3,14,370,30
150	995	750,154,665,41,924,1200,1968,608,337,6
151	727	83,82,364,2333,2070,1246,74,968,750,236
152	128	750,83,82,1200,5952,608,307,1136,3949,1968
153	209	912,750,608,5952,1619,2571,899,471,364,58559
154	230	2028,364,199,41,750,171,608,1968,899,1
155	122	171,1035,1653,150,106,1265,101,364,1079,58559
156	493	307,471,223,337,1968,83,82,1438,154,364
157	625	83,82,223,364,588,1246,17,74,471,337
158	686	608,364,750,2028,899,199,83,82,955,1968
159	319	74,83,82,364,1968,750,924,337,1246,471
160	190	750,82,83,307,1968,1200,364,665,608,924
161	232	39,595,74,1246,364,1257,1291,1968,57,222
162	93	82,83,1619,471,307,1704,802,1968,1200,2571
163	233	236,1,1028,171,2028,199,1240,2333,2070,1073
164	924	2028,1,1028,364,608,199,171,1968,223,750
165	225	1619,82,83,170,356,364,802,2959,2571,1704
166	157	40,912,908,1208,82,83,6535,307,471,337
